model,task,condition,min,max,range
gemma2-9b,T1,FAM-NAMED,0.35714285714285715,1.0,0.6428571428571428
gemma2-9b,T1,FAM-UNNAMED,0.375,1.0,0.625
gemma2-9b,T1,INV-BASE,0.6451612903225806,1.0,0.3548387096774194
gemma2-9b,T1,INV-BASE-TWIN,0.7096774193548387,1.0,0.29032258064516125
gemma2-9b,T1,INV-LEX,0.0,1.0,1.0
gemma2-9b,T1,INV-LEX-TWIN,0.18181818181818182,1.0,0.8181818181818181
gemma2-9b,T2,FAM-DIFF-FAR,0.4444444444444444,0.7333333333333333,0.28888888888888886
gemma2-9b,T2,FAM-NEAR-MISS,0.3333333333333333,0.6666666666666666,0.3333333333333333
gemma2-9b,T2,FAM-SAME-DIM,0.42424242424242425,0.7333333333333333,0.309090909090909
gemma2-9b,T2,FAM-SAME-UNIT,0.38095238095238093,0.7692307692307693,0.38827838827838834
gemma2-9b,T2,INV-BASE,0.39285714285714285,0.5666666666666667,0.1738095238095238
gemma2-9b,T2,INV-LEX,0.3181818181818182,0.6756756756756757,0.3574938574938575
gemma2-9b,T3,FAM-NAMED,0.7555555555555555,0.8589743589743589,0.10341880341880338
gemma2-9b,T3,FAM-UNNAMED,0.42857142857142855,0.6136363636363636,0.1850649350649351
gemma2-9b,T3,INV-LEX,0.5,0.6842105263157895,0.1842105263157895
gemma2-9b,T4,FAM-DIFF-FAR,0.4642857142857143,0.5555555555555556,0.09126984126984128
gemma2-9b,T4,FAM-DIFF-NEAR,0.39285714285714285,0.6333333333333333,0.24047619047619045
gemma2-9b,T4,FAM-NEAR-MISS,0.45588235294117646,0.5423728813559322,0.08649052841475574
gemma2-9b,T4,FAM-SAME-DIM,0.4576271186440678,0.5689655172413793,0.11133839859731154
gemma2-9b,T4,INV-LEX,0.44642857142857145,0.5416666666666666,0.09523809523809518
gemma2-9b,T5,FAM-FAR,0.2916666666666667,0.4050632911392405,0.11339662447257381
gemma2-9b,T5,FAM-NEAR,0.3333333333333333,0.35064935064935066,0.01731601731601734
gemma2-9b,T5,INV-LEX,0.2876712328767123,0.34831460674157305,0.06064337386486074
olmo3-32b,T1,FAM-NAMED,0.4,1.0,0.6
olmo3-32b,T1,FAM-UNNAMED,0.5,1.0,0.5
olmo3-32b,T1,INV-BASE,0.6774193548387096,1.0,0.32258064516129037
olmo3-32b,T1,INV-BASE-TWIN,0.7903225806451613,1.0,0.20967741935483875
olmo3-32b,T1,INV-LEX,0.25,1.0,0.75
olmo3-32b,T1,INV-LEX-TWIN,0.2857142857142857,1.0,0.7142857142857143
olmo3-32b,T2,FAM-DIFF-FAR,0.4444444444444444,0.9166666666666666,0.4722222222222222
olmo3-32b,T2,FAM-NEAR-MISS,0.37142857142857144,0.8484848484848485,0.47705627705627707
olmo3-32b,T2,FAM-SAME-DIM,0.38,0.7368421052631579,0.35684210526315785
olmo3-32b,T2,FAM-SAME-UNIT,0.4146341463414634,0.8666666666666667,0.4520325203252033
olmo3-32b,T2,INV-BASE,0.43333333333333335,0.8214285714285714,0.38809523809523805
olmo3-32b,T2,INV-LEX,0.32432432432432434,0.6818181818181818,0.3574938574938574
olmo3-32b,T3,FAM-NAMED,0.9305555555555556,0.9358974358974359,0.005341880341880323
olmo3-32b,T3,FAM-UNNAMED,0.7662337662337663,0.8,0.03376623376623378
olmo3-32b,T3,INV-LEX,0.6125,0.8421052631578947,0.22960526315789465
olmo3-32b,T4,FAM-DIFF-FAR,0.8333333333333334,0.9642857142857143,0.13095238095238093
olmo3-32b,T4,FAM-DIFF-NEAR,0.7166666666666667,0.8035714285714286,0.08690476190476193
olmo3-32b,T4,FAM-NEAR-MISS,0.7941176470588235,0.8727272727272727,0.0786096256684492
olmo3-32b,T4,FAM-SAME-DIM,0.8135593220338984,0.8688524590163934,0.05529313698249505
olmo3-32b,T4,INV-LEX,0.5535714285714286,0.8055555555555556,0.251984126984127
olmo3-32b,T5,FAM-FAR,0.39325842696629215,0.6582278481012658,0.2649694211349736
olmo3-32b,T5,FAM-NEAR,0.3835616438356164,0.4935064935064935,0.10994484967087709
olmo3-32b,T5,INV-LEX,0.34615384615384615,0.6404494382022472,0.29429559204840106
olmo3-7b,T1,FAM-NAMED,0.6923076923076923,1.0,0.3076923076923077
olmo3-7b,T1,FAM-UNNAMED,0.45714285714285713,0.9838709677419355,0.5267281105990784
olmo3-7b,T1,INV-BASE,0.6,1.0,0.4
olmo3-7b,T1,INV-BASE-TWIN,0.688,1.0,0.31200000000000006
olmo3-7b,T1,INV-LEX,0.4117647058823529,1.0,0.5882352941176471
olmo3-7b,T1,INV-LEX-TWIN,0.5652173913043478,1.0,0.4347826086956522
olmo3-7b,T2,FAM-DIFF-FAR,0.4473684210526316,0.7777777777777778,0.3304093567251462
olmo3-7b,T2,FAM-NEAR-MISS,0.34285714285714286,0.717948717948718,0.3750915750915751
olmo3-7b,T2,FAM-SAME-DIM,0.41304347826086957,0.7105263157894737,0.2974828375286041
olmo3-7b,T2,FAM-SAME-UNIT,0.6190476190476191,0.9512195121951219,0.33217189314750284
olmo3-7b,T2,INV-BASE,0.43333333333333335,0.6071428571428571,0.17380952380952375
olmo3-7b,T2,INV-LEX,0.35135135135135137,0.7307692307692307,0.37941787941787936
olmo3-7b,T3,FAM-NAMED,0.7111111111111111,0.8076923076923077,0.09658119658119657
olmo3-7b,T3,FAM-UNNAMED,0.5454545454545454,0.6133333333333333,0.06787878787878787
olmo3-7b,T3,INV-LEX,0.575,0.6309523809523809,0.055952380952380976
olmo3-7b,T4,FAM-DIFF-FAR,0.6458333333333334,0.7534246575342466,0.10759132420091322
olmo3-7b,T4,FAM-DIFF-NEAR,0.5660377358490566,0.7678571428571429,0.20181940700808632
olmo3-7b,T4,FAM-NEAR-MISS,0.6176470588235294,0.8363636363636363,0.21871657754010687
olmo3-7b,T4,FAM-SAME-DIM,0.6271186440677966,0.8225806451612904,0.19546200109349376
olmo3-7b,T4,INV-LEX,0.6865671641791045,0.8928571428571429,0.20628997867803844
olmo3-7b,T5,FAM-FAR,0.25,0.35443037974683544,0.10443037974683544
olmo3-7b,T5,FAM-NEAR,0.1917808219178082,0.36666666666666664,0.17488584474885843
olmo3-7b,T5,INV-LEX,0.2465753424657534,0.3595505617977528,0.11297521933199939
qwen3-14b-base,T1,FAM-NAMED,0.2857142857142857,1.0,0.7142857142857143
qwen3-14b-base,T1,FAM-UNNAMED,0.625,1.0,0.375
qwen3-14b-base,T1,INV-BASE,0.6896551724137931,1.0,0.31034482758620685
qwen3-14b-base,T1,INV-BASE-TWIN,0.8387096774193549,1.0,0.16129032258064513
qwen3-14b-base,T1,INV-LEX,0.36363636363636365,1.0,0.6363636363636364
qwen3-14b-base,T1,INV-LEX-TWIN,0.45454545454545453,1.0,0.5454545454545454
qwen3-14b-base,T2,FAM-DIFF-FAR,0.5333333333333333,0.9166666666666666,0.3833333333333333
qwen3-14b-base,T2,FAM-NEAR-MISS,0.37142857142857144,0.8478260869565217,0.4763975155279503
qwen3-14b-base,T2,FAM-SAME-DIM,0.42,0.8947368421052632,0.4747368421052632
qwen3-14b-base,T2,FAM-SAME-UNIT,0.7142857142857143,1.0,0.2857142857142857
qwen3-14b-base,T2,INV-BASE,0.43333333333333335,0.9433962264150944,0.510062893081761
qwen3-14b-base,T2,INV-LEX,0.32432432432432434,0.9473684210526315,0.6230440967283072
