model,bin,mean,count
gemma2-9b,"(-0.1, 0.5]",0.9040816326530612,490
gemma2-9b,"(0.5, 1.5]",0.9479166666666666,96
gemma2-9b,"(1.5, 2.5]",0.85,100
gemma2-9b,"(2.5, 3.5]",0.9464285714285714,56
gemma2-9b,"(3.5, 4.5]",0.9743589743589743,78
gemma2-9b,"(4.5, 9.0]",0.8142857142857143,140
olmo3-7b,"(-0.1, 0.5]",0.9102040816326531,490
olmo3-7b,"(0.5, 1.5]",0.90625,96
olmo3-7b,"(1.5, 2.5]",0.89,100
olmo3-7b,"(2.5, 3.5]",0.9285714285714286,56
olmo3-7b,"(3.5, 4.5]",0.9487179487179487,78
olmo3-7b,"(4.5, 9.0]",0.7785714285714286,140
qwen3-4b-base,"(-0.1, 0.5]",0.9040816326530612,490
qwen3-4b-base,"(0.5, 1.5]",0.9375,96
qwen3-4b-base,"(1.5, 2.5]",0.84,100
qwen3-4b-base,"(2.5, 3.5]",0.9285714285714286,56
qwen3-4b-base,"(3.5, 4.5]",0.9743589743589743,78
qwen3-4b-base,"(4.5, 9.0]",0.7785714285714286,140
qwen3-8b-base,"(-0.1, 0.5]",0.9020408163265307,490
qwen3-8b-base,"(0.5, 1.5]",0.9375,96
qwen3-8b-base,"(1.5, 2.5]",0.93,100
qwen3-8b-base,"(2.5, 3.5]",0.9285714285714286,56
qwen3-8b-base,"(3.5, 4.5]",0.9615384615384616,78
qwen3-8b-base,"(4.5, 9.0]",0.7714285714285715,140
